整租·岳阳西里 2室1厅 南/北,岳阳西里,整租,2室1厅1卫 73.00㎡,面积：73.00㎡,3000,思明
整租·东渡三航小区 2室1厅 东南/北,东渡三航小区,整租,2室1厅1卫 60.00㎡ 精装修,面积：60.00㎡,2600,湖里
整租·莱茵花苑 1室0厅 南,莱茵花苑,整租,1室0厅1卫 20.00㎡,面积：20.00㎡,800,湖里
合租·和谐天下 3居室 南卧,和谐天下,合租,3室1厅1卫 30.00㎡,面积：30.00㎡,1700,同安
整租·中交国贸鹭原 1室0厅 东,中交国贸鹭原,整租,1室0厅0卫 40.00㎡,面积：40.00㎡,400,集美
整租·兑山小区 1室0厅 西南,兑山小区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1300,集美
整租·仙阁里花园 2室1厅 南,仙阁里花园,整租,2室1厅1卫 68.00㎡,面积：68.00㎡,1900,思明
整租·国贸商城同悦 1室0厅 东南,国贸商城同悦,整租,1室0厅1卫 25.00㎡,面积：25.00㎡,1700,集美
整租·洪山柄南区 1室0厅 南,洪山柄南区,整租,1室0厅1卫 25.00㎡ 精装修,面积：25.00㎡,1700,思明
整租·世茂御海墅 4室2厅 南/北,世茂御海墅,整租,4室2厅2卫 117.00㎡ 精装修,面积：117.00㎡,3500,翔安
整租·首开领翔上郡三期 3室2厅 南/北,首开领翔上郡三期,整租,3室2厅2卫 112.99㎡ 精装修,面积：112.99㎡,2300,翔安
整租·宝龙一城 1室1厅 南,宝龙一城,整租,1室1厅1卫 25.00㎡ 精装修,面积：25.00㎡,1850,湖里
整租·集安广场 3室2厅 南/北,集安广场,整租,3室2厅2卫 116.00㎡ 精装修,面积：116.00㎡,4000,集美
整租·万达广场 1室1厅 南/北,万达广场,整租,1室1厅1卫 44.00㎡ 精装修,面积：44.00㎡,2000,湖里
合租·和谐天下 9居室 南卧,和谐天下,合租,9室1厅1卫 30.00㎡,面积：30.00㎡,1700,同安
整租·建发翔城国际南区 3室2厅 南,建发翔城国际南区,整租,3室2厅1卫 89.00㎡ 精装修,面积：89.00㎡,2800,翔安
整租·万科金域蓝湾一期 2室2厅 南,万科金域蓝湾一期,整租,2室2厅1卫 90.00㎡ 精装修,面积：90.00㎡,6500,思明
整租·龙湖春江彼岸二期 3室2厅 东南/南,龙湖春江彼岸二期,整租,3室2厅1卫 89.00㎡ 精装修,面积：89.00㎡,2780,海沧
整租·华永天地 2室1厅 南,华永天地,整租,2室1厅1卫 60.00㎡ 精装修,面积：60.00㎡,3000,湖里
整租·山仔顶巷 1室0厅 东南,山仔顶巷,整租,1室0厅1卫 27.80㎡,面积：27.80㎡,2200,思明
整租·东坪安置房小区 1室2厅 北,东坪安置房小区,整租,1室2厅1卫 54.00㎡ 精装修,面积：54.00㎡,3900,思明
整租·福兴国际中心 3室0厅 东/东南/南/西南,福兴国际中心,整租,3室0厅0卫 226.00㎡ 精装修,面积：226.00㎡,8815,思明
整租·九龙城 1室1厅 北,九龙城,整租,1室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,2300,思明
整租·招商1872 3室2厅 南/北,招商1872,整租,3室2厅2卫 94.00㎡ 精装修,面积：94.00㎡,1900,海沧
整租·鹭江新城四期 2室2厅 东/南,鹭江新城四期,整租,2室2厅1卫 87.00㎡ 精装修,面积：87.00㎡,4800,思明
整租·世茂璀璨天城二期 4室2厅 东南,世茂璀璨天城二期,整租,4室2厅3卫 125.00㎡ 精装修,面积：125.00㎡,5300,集美
整租·台商总部大厦 2室0厅 东/东南/南/西南,台商总部大厦,整租,2室0厅0卫 95.00㎡ 精装修,面积：95.00㎡,5225,思明
整租·光彩街 2室1厅 西,光彩街,整租,2室1厅1卫 80.00㎡,面积：80.00㎡,3500,思明
整租·宝业营运中心 4室0厅 东/东南/南/西南,宝业营运中心,整租,4室0厅0卫 295.00㎡ 精装修,面积：295.00㎡,14160,思明
整租·东渡小区 1室1厅 南/北,东渡小区,整租,1室1厅1卫 50.00㎡,面积：50.00㎡,1600,湖里
整租·永升新城 3室2厅 南,永升新城,整租,3室2厅2卫 134.00㎡ 精装修,面积：134.00㎡,3700,湖里
合租·龙湖春江郦城一期 2居室 跃层 东卧,龙湖春江郦城一期,合租,2室1厅1卫 18.00㎡,面积：18.00㎡,1500,集美
整租·融信海上城 2室1厅 西,融信海上城,整租,2室1厅1卫 38.00㎡ 精装修,面积：38.00㎡,2600,海沧
整租·保利叁仟栋壹海里地块一 1室0厅 北,保利叁仟栋壹海里地块一,整租,1室0厅0卫 32.30㎡,面积：32.30㎡,3000,同安
合租·高迪墅 9居室 东南卧,高迪墅,合租,9室0厅1卫 30.00㎡,面积：30.00㎡,1300,集美
整租·角滨路45-57号 2室1厅 南/北,角滨路45-57号,整租,2室1厅1卫 61.00㎡,面积：61.00㎡,3000,思明
整租·园博湾上 1室1厅 南,园博湾上,整租,1室1厅1卫 55.00㎡ 精装修,面积：55.00㎡,2800,集美
整租·保生堂商务中心 3室1厅 南/北,保生堂商务中心,整租,3室1厅1卫 150.00㎡ 精装修,面积：150.00㎡,8000,湖里
整租·东方新城三区 2室1厅 南/北,东方新城三区,整租,2室1厅1卫 75.23㎡ 精装修,面积：75.23㎡,2500,翔安
整租·石亭小区 1室1厅 南,石亭小区,整租,1室1厅1卫 52.00㎡,面积：52.00㎡,2500,思明
整租·1号公馆 3室1厅 北,1号公馆,整租,3室1厅1卫 145.00㎡,面积：145.00㎡,7800,海沧
整租·金山城 3室2厅 复式 南/北,金山城,整租,3室2厅2卫 88.70㎡ 精装修,面积：88.70㎡,6000,湖里
整租·联发杏林湾一号一期 3室2厅 南/北,联发杏林湾一号一期,整租,3室2厅2卫 141.00㎡ 精装修,面积：141.00㎡,3200,集美
整租·文园春晓 3室2厅 南/北,文园春晓,整租,3室2厅2卫 132.00㎡,面积：132.00㎡,8500,思明
整租·世茂湖滨首府D区 2室1厅 南,世茂湖滨首府D区,整租,2室1厅2卫 103.00㎡ 精装修,面积：103.00㎡,5800,湖里
整租·九龙城 1室1厅 南/北,九龙城,整租,1室1厅2卫 60.00㎡ 精装修,面积：60.00㎡,3500,思明
整租·国盟新天地 2室1厅 南,国盟新天地,整租,2室1厅1卫 97.59㎡,面积：97.59㎡,6000,思明
整租·民警宿舍 2室1厅 南/北,民警宿舍,整租,2室1厅1卫 60.00㎡ 精装修,面积：60.00㎡,2400,思明
整租·保利·天汇 3室2厅 南,保利·天汇,整租,3室2厅1卫 76.00㎡ 精装修,面积：76.00㎡,3600,同安
整租·天鹭大厦 1室0厅 南,天鹭大厦,整租,1室0厅0卫 30.00㎡,面积：30.00㎡,1780,思明
整租·信洲大厦 1室1厅 南,信洲大厦,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1700,翔安
整租·禾丰新景 2室2厅 南,禾丰新景,整租,2室2厅1卫 70.00㎡ 精装修,面积：70.00㎡,4300,思明
整租·莲花新城三期 1室1厅 南,莲花新城三期,整租,1室1厅1卫 35.00㎡ 精装修,面积：35.00㎡,1900,集美
整租·特房银溪墅府图尔花园 2室2厅 南,特房银溪墅府图尔花园,整租,2室2厅1卫 85.00㎡ 精装修,面积：85.00㎡,2300,翔安
整租·会展嘉园陆区 2室2厅 南,会展嘉园陆区,整租,2室2厅1卫 85.00㎡ 精装修,面积：85.00㎡,2800,翔安
整租·槟榔花园 3室1厅 南/北,槟榔花园,整租,3室1厅1卫 71.75㎡,面积：71.75㎡,3500,思明
合租·龙湖春江彼岸二期 6居室 南卧,龙湖春江彼岸二期,合租,6室1厅1卫 30.00㎡,面积：30.00㎡,1000,海沧
整租·新华城 1室1厅 南,新华城,整租,1室1厅1卫 31.00㎡ 精装修,面积：31.00㎡,3700,思明
整租·海西舜弘自在城 1室0厅 东南,海西舜弘自在城,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1200,翔安
整租·龙辉花园 1室1厅 东/南,龙辉花园,整租,1室1厅1卫 30.00㎡ 精装修,面积：30.00㎡,1550,思明
整租·中骏蓝湾半岛 4室2厅 南/北,中骏蓝湾半岛,整租,4室2厅1卫 170.00㎡,面积：170.00㎡,5300,海沧
整租·禹洲世贸商城思明 2室1厅 南,禹洲世贸商城思明,整租,2室1厅1卫 59.00㎡ 精装修,面积：59.00㎡,3700,思明
整租·富兴大厦 1室0厅 东南,富兴大厦,整租,1室0厅1卫 25.00㎡ 精装修,面积：25.00㎡,1650,思明
整租·华永天地 2室2厅 西南,华永天地,整租,2室2厅2卫 56.00㎡,面积：56.00㎡,4500,湖里
整租·前海湾 3室1厅 南/北,前海湾,整租,3室1厅1卫 89.00㎡ 精装修,面积：89.00㎡,2700,翔安
整租·山海墅 1室1厅 南,山海墅,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,5500,思明
整租·星海湾 4室2厅 复式 南,星海湾,整租,4室2厅3卫 218.61㎡ 精装修,面积：218.61㎡,5500,同安
整租·未来海岸浪琴湾 3室2厅 南,未来海岸浪琴湾,整租,3室2厅1卫 98.44㎡,面积：98.44㎡,3200,海沧
整租·厦门院子泰禾首玺C区 3室2厅 南,厦门院子泰禾首玺C区,整租,3室2厅2卫 108.00㎡ 精装修,面积：108.00㎡,2900,海沧
整租·金帝中洲滨海城二期 2室2厅 复式 南/北,金帝中洲滨海城二期,整租,2室2厅1卫 96.00㎡ 精装修,面积：96.00㎡,3000,同安
整租·融景湾 1室0厅 北,融景湾,整租,1室0厅1卫 25.00㎡ 精装修,面积：25.00㎡,1500,湖里
整租·源昌君悦山思明 1室0厅 北,源昌君悦山思明,整租,1室0厅0卫 50.00㎡,面积：50.00㎡,1000,思明
整租·万科金域蓝湾一期 0室0厅 东,万科金域蓝湾一期,整租,未知室0厅0卫 40.00㎡ 精装修,面积：40.00㎡,800,思明
整租·世纪海湾二期 3室2厅 南/西北,世纪海湾二期,整租,3室2厅2卫 168.00㎡ 精装修,面积：168.00㎡,10000,思明
整租·育青路 1室0厅 南,育青路,整租,1室0厅1卫 40.00㎡ 精装修,面积：40.00㎡,1650,思明
整租·过云溪二组团 2室2厅 南,过云溪二组团,整租,2室2厅1卫 83.99㎡,面积：83.99㎡,2000,海沧
整租·嘉兴园 4室2厅 南/北,嘉兴园,整租,4室2厅3卫 170.00㎡ 精装修,面积：170.00㎡,6000,湖里
整租·中航城A区 3室2厅 跃层 东南/西北,中航城A区,整租,3室2厅2卫 122.00㎡ 精装修,面积：122.00㎡,4700,集美
整租·益友花园 3室2厅 南/北,益友花园,整租,3室2厅1卫 70.00㎡,面积：70.00㎡,3200,思明
整租·IOI棕榈城 4室2厅 南,IOI棕榈城,整租,4室2厅2卫 140.00㎡,面积：140.00㎡,5500,集美
整租·天合嘉苑竹园 4室2厅 南,天合嘉苑竹园,整租,4室2厅2卫 140.00㎡ 精装修,面积：140.00㎡,5000,翔安
整租·保利叁仟栋一期 3室2厅 东南,保利叁仟栋一期,整租,3室2厅2卫 128.00㎡,面积：128.00㎡,10000,同安
整租·国贸远洋天和 3室2厅 南,国贸远洋天和,整租,3室2厅2卫 94.00㎡ 精装修,面积：94.00㎡,3200,翔安
整租·中海寰宇天下 6室2厅 东南,中海寰宇天下,整租,6室2厅3卫 230.31㎡,面积：230.31㎡,8500,集美
整租·华岳山庄 5室3厅 南/西/北,华岳山庄,整租,5室3厅4卫 270.00㎡ 精装修,面积：270.00㎡,14000,思明
整租·祥富佳园 4室1厅 复式 南/北,祥富佳园,整租,4室1厅2卫 196.00㎡ 精装修,面积：196.00㎡,5000,同安
整租·浦南一路 3室2厅 南/北,浦南一路,整租,3室2厅2卫 120.00㎡,面积：120.00㎡,4500,思明
整租·九龙城 1室0厅 东,九龙城,整租,1室0厅1卫 20.00㎡ 精装修,面积：20.00㎡,900,思明
整租·新景雅苑 2室2厅 复式 南/北,新景雅苑,整租,2室2厅2卫 97.00㎡ 精装修,面积：97.00㎡,5980,湖里
整租·莲岳里小区西区 3室2厅 南/北,莲岳里小区西区,整租,3室2厅1卫 65.00㎡ 精装修,面积：65.00㎡,3300,思明
整租·裕发广场 1室1厅 南,裕发广场,整租,1室1厅1卫 35.00㎡ 精装修,面积：35.00㎡,2400,思明
整租·海投自贸天际 3室1厅 南/北,海投自贸天际,整租,3室1厅2卫 83.00㎡ 精装修,面积：83.00㎡,2300,海沧
整租·禹洲世贸商城思明 3室1厅 北,禹洲世贸商城思明,整租,3室1厅1卫 85.00㎡ 精装修,面积：85.00㎡,4800,思明
整租·屿后南里 2室2厅 南,屿后南里,整租,2室2厅1卫 70.00㎡,面积：70.00㎡,2900,思明
整租·新景国际城 1室1厅 南,新景国际城,整租,1室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,1280,翔安
整租·碧水芳庭 1室1厅 北,碧水芳庭,整租,1室1厅1卫 34.20㎡ 精装修,面积：34.20㎡,1599,海沧
整租·大唐五缘yoho 1室1厅 北,大唐五缘yoho,整租,1室1厅1卫 47.00㎡ 精装修,面积：47.00㎡,2700,湖里
整租·融信海上城 2室2厅 东,融信海上城,整租,2室2厅1卫 44.99㎡ 精装修,面积：44.99㎡,2899,海沧
整租·碧水芳庭 1室1厅 北,碧水芳庭,整租,1室1厅1卫 32.63㎡ 精装修,面积：32.63㎡,1699,海沧
整租·新景数码港 1室0厅 南,新景数码港,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,2000,思明
整租·翔鹭花城一，二期 2室1厅 北,翔鹭花城一，二期,整租,2室1厅1卫 52.00㎡ 精装修,面积：52.00㎡,2500,湖里
整租·裕兴大厦 1室1厅 北,裕兴大厦,整租,1室1厅1卫 36.98㎡ 精装修,面积：36.98㎡,2199,湖里
整租·龙湖嘉誉二期 3室2厅 东南,龙湖嘉誉二期,整租,3室2厅1卫 89.00㎡ 精装修,面积：89.00㎡,2700,集美
整租·海玥和鸣 3室1厅 南/北,海玥和鸣,整租,3室1厅2卫 87.00㎡ 精装修,面积：87.00㎡,3000,海沧
整租·华尔顿1275 4室2厅 东/南/西,华尔顿1275,整租,4室2厅2卫 172.00㎡ 精装修,面积：172.00㎡,10000,思明
整租·联发欣悦湾 4室2厅 东南,联发欣悦湾,整租,4室2厅2卫 120.00㎡ 精装修,面积：120.00㎡,3500,集美
合租·新港广场 6居室 南卧,新港广场,合租,6室0厅1卫 100.00㎡,面积：100.00㎡,5500,思明
整租·瑞景生活广场 1室0厅 南,瑞景生活广场,整租,1室0厅1卫 25.00㎡ 精装修,面积：25.00㎡,2500,思明
整租·莲花大厦 1室1厅 南,莲花大厦,整租,1室1厅1卫 45.80㎡ 精装修,面积：45.80㎡,3200,思明
整租·未来海岸蓝月湾二期 1室0厅 南/北,未来海岸蓝月湾二期,整租,1室0厅0卫 40.00㎡ 精装修,面积：40.00㎡,700,海沧
整租·皇达大厦 4室1厅 西南,皇达大厦,整租,4室1厅0卫 242.00㎡ 精装修,面积：242.00㎡,14500,思明
整租·水晶森林二期 2室2厅 南/北,水晶森林二期,整租,2室2厅1卫 85.00㎡,面积：85.00㎡,4600,湖里
整租·保利·阅云台 4室2厅 南,保利·阅云台,整租,4室2厅2卫 89.00㎡ 精装修,面积：89.00㎡,3300,同安
整租·建发五缘橖月 5室1厅 南/北,建发五缘橖月,整租,5室1厅3卫 193.00㎡ 精装修,面积：193.00㎡,13000,湖里
整租·水晶森林一期 1室0厅 南,水晶森林一期,整租,1室0厅0卫 40.00㎡ 精装修,面积：40.00㎡,750,湖里
整租·香港时代广场 1室0厅 东,香港时代广场,整租,1室0厅0卫 15.00㎡,面积：15.00㎡,950,思明
整租·世茂湖滨首府C区 3室2厅 南,世茂湖滨首府C区,整租,3室2厅2卫 152.00㎡ 精装修,面积：152.00㎡,7500,湖里
整租·安仁里小区 3室2厅 南,安仁里小区,整租,3室2厅2卫 125.25㎡,面积：125.25㎡,2400,集美
整租·裕发广场 2室1厅 西南,裕发广场,整租,2室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,3300,思明
整租·复兴世纪 1室0厅 西,复兴世纪,整租,1室0厅1卫 90.00㎡,面积：90.00㎡,27500,思明
整租·阳光城翡丽湾二期 3室2厅 南,阳光城翡丽湾二期,整租,3室2厅1卫 87.00㎡ 精装修,面积：87.00㎡,2700,翔安
整租·文灶地铁社区一期 3室1厅 南,文灶地铁社区一期,整租,3室1厅2卫 110.00㎡ 精装修,面积：110.00㎡,8500,思明
整租·育秀里小区 2室1厅 南/北,育秀里小区,整租,2室1厅2卫 74.00㎡ 精装修,面积：74.00㎡,3800,思明
整租·中海杏林鹭湾 3室2厅 南,中海杏林鹭湾,整租,3室2厅2卫 104.00㎡ 精装修,面积：104.00㎡,5000,集美
整租·东兴小区 1室1厅 南,东兴小区,整租,1室1厅1卫 55.00㎡ 精装修,面积：55.00㎡,2200,湖里
整租·宝龙一城 2室1厅 东,宝龙一城,整租,2室1厅2卫 67.00㎡ 精装修,面积：67.00㎡,6000,湖里
整租·海峡明珠广场 1室1厅 东南,海峡明珠广场,整租,1室1厅0卫 242.32㎡ 精装修,面积：242.32㎡,14540,思明
整租·源盛花园 3室2厅 南,源盛花园,整租,3室2厅1卫 105.00㎡ 精装修,面积：105.00㎡,5800,思明
整租·华林花园二期 3室2厅 南/北,华林花园二期,整租,3室2厅2卫 122.30㎡ 精装修,面积：122.30㎡,4600,思明
整租·中交和美新城四期 3室1厅 南,中交和美新城四期,整租,3室1厅1卫 97.00㎡ 精装修,面积：97.00㎡,4300,集美
整租·中交国贸鹭原 1室0厅 东南,中交国贸鹭原,整租,1室0厅0卫 30.00㎡ 精装修,面积：30.00㎡,300,集美
整租·禹洲大学城 1室0厅 南,禹洲大学城,整租,1室0厅0卫 51.00㎡,面积：51.00㎡,500,同安
整租·厦港新村 2室1厅 南/北,厦港新村,整租,2室1厅1卫 65.00㎡ 精装修,面积：65.00㎡,2900,思明
整租·中粮·鹭湾祥云 3室2厅 南,中粮·鹭湾祥云,整租,3室2厅2卫 89.00㎡ 精装修,面积：89.00㎡,2600,翔安
整租·禹洲中央海岸二期 4室1厅 南,禹洲中央海岸二期,整租,4室1厅2卫 137.00㎡ 精装修,面积：137.00㎡,3800,集美
整租·国泰大厦 1室1厅 南,国泰大厦,整租,1室1厅0卫 158.00㎡ 精装修,面积：158.00㎡,7900,湖里
整租·船务大厦 0室0厅 东,船务大厦,整租,未知室0厅0卫 220.00㎡,面积：220.00㎡,30000,湖里
整租·橡树湾三期 4室2厅 东南,橡树湾三期,整租,4室2厅2卫 116.00㎡ 精装修,面积：116.00㎡,4100,集美
整租·特房银溪墅府图尔花园 2室2厅 南,特房银溪墅府图尔花园,整租,2室2厅1卫 85.00㎡ 精装修,面积：85.00㎡,2300,翔安
整租·美地雅登祥吴五里 1室0厅 南,美地雅登祥吴五里,整租,1室0厅1卫 32.00㎡ 精装修,面积：32.00㎡,1400,翔安
整租·水晶森林二期 2室1厅 南/北,水晶森林二期,整租,2室1厅1卫 64.73㎡,面积：64.73㎡,3800,湖里
整租·美湾1号 2室1厅 南/北,美湾1号,整租,2室1厅1卫 80.00㎡ 精装修,面积：80.00㎡,2300,海沧
整租·不见天 2室1厅 南/北,不见天,整租,2室1厅1卫 60.00㎡ 精装修,面积：60.00㎡,3800,思明
整租·海峡明珠广场 1室1厅 东南,海峡明珠广场,整租,1室1厅0卫 237.72㎡ 精装修,面积：237.72㎡,14260,思明
整租·荣滨大厦 4室2厅 南/北,荣滨大厦,整租,4室2厅2卫 147.00㎡ 精装修,面积：147.00㎡,8000,思明
整租·南湖豪苑 1室1厅 南/北,南湖豪苑,整租,1室1厅1卫 54.00㎡,面积：54.00㎡,3700,思明
整租·裕兴大厦 1室1厅 东南,裕兴大厦,整租,1室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,2400,湖里
整租·中铁财富港湾 2室1厅 西南,中铁财富港湾,整租,2室1厅0卫 150.00㎡,面积：150.00㎡,7500,湖里
整租·阳光百合 2室1厅 南,阳光百合,整租,2室1厅2卫 85.00㎡,面积：85.00㎡,4500,思明
整租·中铁诺德逸都 3室2厅 南,中铁诺德逸都,整租,3室2厅2卫 110.00㎡ 精装修,面积：110.00㎡,3500,同安
整租·筼筜书院 2室2厅 南/北,筼筜书院,整租,2室2厅1卫 88.00㎡ 精装修,面积：88.00㎡,7300,思明
整租·国贸新城 1室0厅 北,国贸新城,整租,1室0厅1卫 25.00㎡ 精装修,面积：25.00㎡,1300,思明
整租·屿后里小区二区 2室1厅 南,屿后里小区二区,整租,2室1厅1卫 64.00㎡ 精装修,面积：64.00㎡,3900,思明
整租·鑫塔水尚 4室2厅 东/西,鑫塔水尚,整租,4室2厅2卫 200.00㎡ 精装修,面积：200.00㎡,9000,思明
整租·宝华花园 2室2厅 南,宝华花园,整租,2室2厅1卫 100.00㎡ 精装修,面积：100.00㎡,3000,集美
整租·金枫园 3室2厅 跃层 南,金枫园,整租,3室2厅3卫 127.00㎡,面积：127.00㎡,4800,思明
整租·会展嘉园陆区 1室0厅 南,会展嘉园陆区,整租,1室0厅1卫 43.00㎡ 精装修,面积：43.00㎡,1900,翔安
整租·会展嘉园陆区 1室0厅 南,会展嘉园陆区,整租,1室0厅1卫 43.00㎡ 精装修,面积：43.00㎡,1900,翔安
整租·阳光城文澜府 3室2厅 南,阳光城文澜府,整租,3室2厅1卫 89.00㎡ 精装修,面积：89.00㎡,3200,集美
整租·都市港湾 2室2厅 东/南/北,都市港湾,整租,2室2厅1卫 97.60㎡,面积：97.60㎡,4500,湖里
整租·海投天源 2室2厅 东南,海投天源,整租,2室2厅2卫 131.48㎡ 精装修,面积：131.48㎡,18000,海沧
整租·钟宅北苑一期A区 2室1厅 南,钟宅北苑一期A区,整租,2室1厅1卫 73.00㎡ 精装修,面积：73.00㎡,4200,湖里
整租·艺盛花园 2室1厅 南/北,艺盛花园,整租,2室1厅1卫 107.00㎡ 精装修,面积：107.00㎡,5000,思明
整租·龙盛花园 3室1厅 南/北,龙盛花园,整租,3室1厅1卫 108.00㎡ 精装修,面积：108.00㎡,5500,思明
整租·湖北大厦 2室1厅 北,湖北大厦,整租,2室1厅1卫 65.00㎡ 精装修,面积：65.00㎡,3800,思明
整租·莲前西路 2室2厅 南/北,莲前西路,整租,2室2厅1卫 61.00㎡,面积：61.00㎡,3000,思明
整租·公元九里 4室2厅 南/北,公元九里,整租,4室2厅2卫 127.00㎡ 精装修,面积：127.00㎡,4300,翔安
整租·龙湖新壹城 2室1厅 东南,龙湖新壹城,整租,2室1厅1卫 73.00㎡ 精装修,面积：73.00㎡,1800,集美
整租·翠湖公寓 2室2厅 南/北,翠湖公寓,整租,2室2厅1卫 100.46㎡,面积：100.46㎡,3800,思明
整租·钟宅北苑一期B区 1室1厅 南,钟宅北苑一期B区,整租,1室1厅1卫 42.00㎡ 精装修,面积：42.00㎡,3200,湖里
整租·古龙居住公园 3室1厅 南,古龙居住公园,整租,3室1厅2卫 90.00㎡,面积：90.00㎡,3500,湖里
整租·红星瑞景小区 3室2厅 南/北,红星瑞景小区,整租,3室2厅2卫 133.00㎡,面积：133.00㎡,4600,思明
整租·钟宅南苑 2室1厅 东南/南,钟宅南苑,整租,2室1厅1卫 75.28㎡ 精装修,面积：75.28㎡,5200,湖里
整租·建发缦云 4室2厅 西南,建发缦云,整租,4室2厅2卫 192.31㎡ 精装修,面积：192.31㎡,8000,海沧
整租·坑内路 1室1厅 南,坑内路,整租,1室1厅1卫 65.00㎡ 精装修,面积：65.00㎡,3700,思明
整租·东浦路 2室1厅 南,东浦路,整租,2室1厅1卫 79.00㎡ 精装修,面积：79.00㎡,2900,思明
整租·国贸润园 3室2厅 南/北,国贸润园,整租,3室2厅2卫 143.00㎡ 精装修,面积：143.00㎡,8500,湖里
整租·宝龙一城 3室2厅 南,宝龙一城,整租,3室2厅2卫 156.00㎡ 精装修,面积：156.00㎡,9000,湖里
整租·阳光花园 2室1厅 东/东南,阳光花园,整租,2室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,2700,思明
合租·世茂湖滨首府B区 5居室 东南卧,世茂湖滨首府B区,合租,5室3厅3卫 30.00㎡,面积：30.00㎡,3400,湖里
整租·禹洲大学城 2室2厅 东南/北,禹洲大学城,整租,2室2厅1卫 85.20㎡ 精装修,面积：85.20㎡,2400,同安
整租·软件园二期 1室1厅 南,软件园二期,整租,1室1厅0卫 75.00㎡ 精装修,面积：75.00㎡,3000,思明
整租·中航城A区 3室2厅 南/北,中航城A区,整租,3室2厅2卫 117.00㎡ 精装修,面积：117.00㎡,4350,集美
整租·摩登时代 1室1厅 东,摩登时代,整租,1室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,3600,思明
整租·金都海尚国际 4室2厅 南/北,金都海尚国际,整租,4室2厅3卫 219.58㎡ 精装修,面积：219.58㎡,8500,同安
整租·裕兴花园 1室1厅 南,裕兴花园,整租,1室1厅1卫 37.64㎡ 精装修,面积：37.64㎡,2600,湖里
整租·保利中交雲上 3室2厅 南/北,保利中交雲上,整租,3室2厅2卫 89.00㎡ 精装修,面积：89.00㎡,3200,翔安
整租·保利叁仟栋二期 5室2厅 跃层 东/东南/南,保利叁仟栋二期,整租,5室2厅3卫 152.28㎡,面积：152.28㎡,6666,同安
整租·万科金域蓝湾一期 1室0厅 北,万科金域蓝湾一期,整租,1室0厅1卫 40.00㎡ 精装修,面积：40.00㎡,3500,思明
整租·美地雅登祥吴二里 3室2厅 南,美地雅登祥吴二里,整租,3室2厅2卫 122.04㎡ 精装修,面积：122.04㎡,3500,翔安
合租·新景中心二期 5居室 南卧,新景中心二期,合租,5室1厅1卫 38.00㎡,面积：38.00㎡,1900,思明
整租·优山美地 3室2厅 南/北,优山美地,整租,3室2厅2卫 167.00㎡ 精装修,面积：167.00㎡,9500,湖里
整租·软件园二期 2室1厅 东,软件园二期,整租,2室1厅0卫 118.00㎡ 精装修,面积：118.00㎡,5310,思明
整租·莲花大厦 1室1厅 东,莲花大厦,整租,1室1厅1卫 49.33㎡ 精装修,面积：49.33㎡,3099,思明
整租·城建大厦 1室1厅 南,城建大厦,整租,1室1厅0卫 249.00㎡,面积：249.00㎡,12500,海沧
整租·城建大厦 4室1厅 南,城建大厦,整租,4室1厅0卫 245.00㎡,面积：245.00㎡,12250,海沧
整租·城建大厦 1室1厅 西北,城建大厦,整租,1室1厅0卫 146.00㎡,面积：146.00㎡,7300,海沧
整租·城建大厦 1室1厅 西南/西,城建大厦,整租,1室1厅0卫 305.00㎡,面积：305.00㎡,15250,海沧
整租·岑东路 3室2厅 南,岑东路,整租,3室2厅1卫 100.00㎡,面积：100.00㎡,2600,集美
合租·碧水芳庭 6居室 北卧,碧水芳庭,合租,6室0厅1卫 20.00㎡,面积：20.00㎡,900,海沧
整租·龙湖新壹城 1室1厅 东南,龙湖新壹城,整租,1室1厅1卫 37.27㎡ 精装修,面积：37.27㎡,1600,集美
整租·首开领翔国际 2室2厅 南,首开领翔国际,整租,2室2厅1卫 81.00㎡ 精装修,面积：81.00㎡,2500,翔安
整租·东坑安居房 2室1厅 东南,东坑安居房,整租,2室1厅1卫 62.00㎡ 精装修,面积：62.00㎡,2800,海沧
整租·枫丹雅苑 3室2厅 东南,枫丹雅苑,整租,3室2厅2卫 148.00㎡,面积：148.00㎡,6200,思明
整租·源昌君悦山思明 2室2厅 南,源昌君悦山思明,整租,2室2厅1卫 93.78㎡ 精装修,面积：93.78㎡,6800,思明
整租·南湖豪苑 3室2厅 南/北,南湖豪苑,整租,3室2厅2卫 127.00㎡ 精装修,面积：127.00㎡,9500,思明
整租·益辉花园 2室1厅 南/北,益辉花园,整租,2室1厅1卫 56.00㎡ 精装修,面积：56.00㎡,3200,思明
整租·建发花园 3室2厅 南/北,建发花园,整租,3室2厅2卫 128.00㎡,面积：128.00㎡,6000,思明
